,episode_name,tv_show_name,imdb_ratings,runtime_in_mins,director,season
117,Episode #8.6,Game of Thrones,NA,57,David Benioff,Season 8 | Episode 6
118,The Long Bright Dark,True Detective,9.0,58,Cary Joji Fukunaga,Season 1 | Episode 1
119,Seeing Things,True Detective,8.9,59,Cary Joji Fukunaga,Season 1 | Episode 2
120,The Locked Room,True Detective,9.2,1,Cary Joji Fukunaga,Season 1 | Episode 3
121,Who Goes There,True Detective,9.7,56,Cary Joji Fukunaga,Season 1 | Episode 4
122,The Secret Fate of All Life,True Detective,9.6,57,Cary Joji Fukunaga,Season 1 | Episode 5
123,Haunted Houses,True Detective,9.2,59,Cary Joji Fukunaga,Season 1 | Episode 6
124,After You've Gone,True Detective,9.2,54,Cary Joji Fukunaga,Season 1 | Episode 7
125,Form and Void,True Detective,9.6,54,Cary Joji Fukunaga,Season 1 | Episode 8
126,The Western Book of the Dead,True Detective,7.8,1,Justin Lin,Season 2 | Episode 1
127,Night Finds You,True Detective,8.0,58,Justin Lin,Season 2 | Episode 2
128,Maybe Tomorrow,True Detective,7.6,58,Janus Metz,Season 2 | Episode 3
129,Down Will Come,True Detective,8.4,55,Jeremy Podeswa,Season 2 | Episode 4
130,Other Lives,True Detective,8.0,59,John Crowley,Season 2 | Episode 5
131,Church in Ruins,True Detective,8.5,59,Miguel Sapochnik,Season 2 | Episode 6
132,Black Maps and Motel Rooms,True Detective,8.9,14,Daniel Attias,Season 2 | Episode 7
133,Omega Station,True Detective,8.2,126,John Crowley,Season 2 | Episode 8
134,The Great War and Modern Memory,True Detective,9.0,59,Jeremy Saulnier,Season 3 | Episode 1
135,Kiss Tomorrow Goodbye,True Detective,8.6,58,Jeremy Saulnier,Season 3 | Episode 2
136,The Big Never,True Detective,8.3,1,Daniel Sackheim,Season 3 | Episode 3
137,The Hour and the Day,True Detective,8.7,17,Nic Pizzolatto,Season 3 | Episode 4
138,If You Have Ghosts,True Detective,NA,55,Nic Pizzolatto,Season 3 | Episode 5
139,Hunters in the Dark,True Detective,NA,55,Daniel Sackheim,Season 3 | Episode 6
140,The Final Country,True Detective,NA,55,Daniel Sackheim,Season 3 | Episode 7
141,Now Am Found,True Detective,NA,55,Daniel Sackheim,Season 3 | Episode 8
142,Titans,Titans,8.2,50,Brad Anderson,Season 1 | Episode 1
143,Hawk and Dove,Titans,8.7,44,Brad Anderson,Season 1 | Episode 2
144,Origins,Titans,8.4,54,Kevin Rodney Sullivan,Season 1 | Episode 3
145,Doom Patrol,Titans,8.7,45,John Fawcett,Season 1 | Episode 4
146,Together,Titans,9.0,40,Meera Menon,Season 1 | Episode 5
147,Jason Todd,Titans,8.7,47,Carol Banker,Season 1 | Episode 6
148,Asylum,Titans,8.5,46,Alex Kalymnios,Season 1 | Episode 7
149,Donna Troy,Titans,8.6,43,David Frazee,Season 1 | Episode 8
150,Hank and Dawn,Titans,8.6,46,Akiva Goldsman,Season 1 | Episode 9
151,Koriand'r,Titans,8.7,41,Maja Vrvilo,Season 1 | Episode 10
152,Dick Grayson,Titans,8.8,43,Glen Winter,Season 1 | Episode 11
153,Episode #2.1,Titans,NA,45,Minka Kelly,Season 2 | Episode 1
154,Episode #2.2,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 2
155,Episode #2.3,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 3
156,Episode #2.4,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 4
157,Episode #2.5,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 5
158,Episode #2.6,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 6
159,Episode #2.7,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 7
160,Episode #2.8,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 8
161,Episode #2.9,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 9
162,Episode #2.10,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 10
163,Episode #2.11,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 11
164,Episode #2.12,Titans,NA,45,Brenton Thwaites,Season 2 | Episode 12
165,The End,Grace and Frankie,7.9,35,Tate Taylor,Season 1 | Episode 1
166,The Credit Cards,Grace and Frankie,7.6,27,Scott Winant,Season 1 | Episode 2
167,The Dinner,Grace and Frankie,7.9,29,Bryan Gordon,Season 1 | Episode 3
168,The Funeral,Grace and Frankie,8.1,26,Tim Kirkby,Season 1 | Episode 4
169,The Fall,Grace and Frankie,8.2,25,Betty Thomas,Season 1 | Episode 5
170,The Earthquake,Grace and Frankie,8.0,27,Tristram Shapeero,Season 1 | Episode 6
171,The Spelling Bee,Grace and Frankie,8.1,32,Tim Kirkby,Season 1 | Episode 7
172,The Sex,Grace and Frankie,8.2,27,Dennie Gordon,Season 1 | Episode 8
173,The Invitation,Grace and Frankie,8.0,33,Matt Shakman,Season 1 | Episode 9
174,The Elevator,Grace and Frankie,8.1,28,Miguel Arteta,Season 1 | Episode 10
175,The Secrets,Grace and Frankie,8.1,27,Andrew McCarthy,Season 1 | Episode 11
176,The Bachelor Party,Grace and Frankie,8.2,27,Julie Anne Robinson,Season 1 | Episode 12
177,The Vows,Grace and Frankie,8.5,30,Dean Parisot,Season 1 | Episode 13
178,The Wish,Grace and Frankie,8.2,30,Dean Parisot,Season 2 | Episode 1
179,The Vitamix,Grace and Frankie,8.2,28,Rebecca Asher,Season 2 | Episode 2
180,The Negotiation,Grace and Frankie,8.1,29,Trent O'Donnell,Season 2 | Episode 3
181,The Road Trip,Grace and Frankie,8.1,27,Arlene Sanford,Season 2 | Episode 4
182,The Test,Grace and Frankie,8.3,28,Andy Ackerman,Season 2 | Episode 5
183,The Chicken,Grace and Frankie,8.1,32,Jann Turner,Season 2 | Episode 6
184,The Boar,Grace and Frankie,8.2,29,Michael Showalter,Season 2 | Episode 7
185,The Anchor,Grace and Frankie,8.2,33,Melanie Mayron,Season 2 | Episode 8
186,The Goodbyes,Grace and Frankie,8.3,30,Jason Ensler,Season 2 | Episode 9
187,The Loophole,Grace and Frankie,8.3,30,Lee Rose,Season 2 | Episode 10
188,The Bender,Grace and Frankie,8.4,28,Alex Hardcastle,Season 2 | Episode 11
189,The Party,Grace and Frankie,8.7,31,Wendey Stanzler,Season 2 | Episode 12
190,The Coup,Grace and Frankie,9.1,28,Rebecca Asher,Season 2 | Episode 13
191,The Art Show,Grace and Frankie,8.4,30,Marta Kauffman,Season 3 | Episode 1
192,The Incubator,Grace and Frankie,8.2,30,Arlene Sanford,Season 3 | Episode 2
193,The Focus Group,Grace and Frankie,8.5,30,Ken Whittingham,Season 3 | Episode 3
194,The Burglary,Grace and Frankie,8.4,27,Alex Hardcastle,Season 3 | Episode 4
195,The Gun,Grace and Frankie,8.3,30,Rebecca Asher,Season 3 | Episode 5
196,The Pot,Grace and Frankie,8.5,30,Andy Ackerman,Season 3 | Episode 6
197,The Floor,Grace and Frankie,8.4,30,Rebecca Asher,Season 3 | Episode 7
198,The Alert,Grace and Frankie,8.4,30,Melanie Mayron,Season 3 | Episode 8
199,The Apology,Grace and Frankie,8.4,30,Ken Whittingham,Season 3 | Episode 9
200,The Labels,Grace and Frankie,8.1,30,Arlene Sanford,Season 3 | Episode 10
201,The Other Vibrator,Grace and Frankie,8.2,30,Rebecca Asher,Season 3 | Episode 11
202,The Musical,Grace and Frankie,8.4,30,Arlene Sanford,Season 3 | Episode 12
203,The Sign,Grace and Frankie,8.7,30,Rebecca Asher,Season 3 | Episode 13
204,The Lodger,Grace and Frankie,7.8,30,Alex Hardcastle,Season 4 | Episode 1
205,The Scavengender Hunt,Grace and Frankie,7.8,30,Ken Whittingham,Season 4 | Episode 2
206,The Tappys,Grace and Frankie,7.8,30,Rebecca Asher,Season 4 | Episode 3
207,The Expiration Date,Grace and Frankie,8.4,30,Alex Hardcastle,Season 4 | Episode 4
208,The Pop-Ups,Grace and Frankie,8.1,30,Rebecca Asher,Season 4 | Episode 5
209,The Hinge,Grace and Frankie,8.1,30,Ken Whittingham,Season 4 | Episode 6
210,The Landline,Grace and Frankie,8.2,30,Randall Keenan Winston,Season 4 | Episode 7
211,The Lockdown,Grace and Frankie,8.4,30,Gail Lerner,Season 4 | Episode 8
212,The Knee,Grace and Frankie,8.0,30,Rebecca Asher,Season 4 | Episode 9
213,The Death Stick,Grace and Frankie,8.0,30,Ken Whittingham,Season 4 | Episode 10
214,The Tub,Grace and Frankie,7.9,30,Rebecca Asher,Season 4 | Episode 11
215,The Rats,Grace and Frankie,8.5,30,Alan Poul,Season 4 | Episode 12
216,The Home,Grace and Frankie,8.5,30,Marta Kauffman,Season 4 | Episode 13
217,The House,Grace and Frankie,8.3,30,Michael Showalter,Season 5 | Episode 1
218,The Squat,Grace and Frankie,8.0,30,Ken Whittingham,Season 5 | Episode 2
219,The Aide,Grace and Frankie,7.9,30,Kyra Sedgwick,Season 5 | Episode 3
220,The Crosswalk,Grace and Frankie,8.1,30,John Hoffman,Season 5 | Episode 4
221,The Pharmacy,Grace and Frankie,7.9,30,Randall Keenan Winston,Season 5 | Episode 5
222,The Retreat,Grace and Frankie,8.0,30,Rebecca Asher,Season 5 | Episode 6
223,The Tremor,Grace and Frankie,8.1,30,Ken Whittingham,Season 5 | Episode 7
224,The Ceremony,Grace and Frankie,8.2,30,Rebecca Asher,Season 5 | Episode 8
225,The Website,Grace and Frankie,8.1,30,Silver Tree,Season 5 | Episode 9
226,The Highs,Grace and Frankie,7.9,30,Ken Whittingham,Season 5 | Episode 10
227,The Video,Grace and Frankie,7.9,30,David Warren,Season 5 | Episode 11
228,The Wedding,Grace and Frankie,7.9,30,Alex Hardcastle,Season 5 | Episode 12
229,The Alternative,Grace and Frankie,6.1,30,Marta Kauffman,Season 5 | Episode 13
230,Rites of Passage,Vikings,7.8,45,Johan Renck,Season 1 | Episode 1
231,Wrath of the Northmen,Vikings,8.0,45,Johan Renck,Season 1 | Episode 2
232,Dispossessed,Vikings,8.1,45,Johan Renck,Season 1 | Episode 3
233,Trial,Vikings,8.4,45,Ciaran Donnelly,Season 1 | Episode 4
234,Raid,Vikings,8.3,44,Ciaran Donnelly,Season 1 | Episode 5
235,Burial of the Dead,Vikings,8.3,45,Ciaran Donnelly,Season 1 | Episode 6
236,A King's Ransom,Vikings,8.5,45,Ken Girotti,Season 1 | Episode 7
237,Sacrifice,Vikings,7.9,45,Ken Girotti,Season 1 | Episode 8
238,All Change,Vikings,7.9,45,Ken Girotti,Season 1 | Episode 9
239,Brother's War,Vikings,8.6,48,Ciaran Donnelly,Season 2 | Episode 1
240,Invasion,Vikings,8.4,45,Ciaran Donnelly,Season 2 | Episode 2
241,Treachery,Vikings,8.6,45,Ken Girotti,Season 2 | Episode 3
242,Eye for an Eye,Vikings,8.5,45,Ken Girotti,Season 2 | Episode 4
243,Answers in Blood,Vikings,8.6,45,Jeff Woolnough,Season 2 | Episode 5
244,Unforgiven,Vikings,8.6,47,Jeff Woolnough,Season 2 | Episode 6
245,Blood Eagle,Vikings,8.6,45,Kari Skogland,Season 2 | Episode 7
246,Boneless,Vikings,8.2,45,Kari Skogland,Season 2 | Episode 8
247,The Choice,Vikings,8.6,46,Ken Girotti,Season 2 | Episode 9
248,The Lord's Prayer,Vikings,8.8,46,Ken Girotti,Season 2 | Episode 10
249,Mercenary,Vikings,8.6,45,Ken Girotti,Season 3 | Episode 1
250,The Wanderer,Vikings,8.3,44,Ken Girotti,Season 3 | Episode 2
251,Warrior's Fate,Vikings,8.3,45,Jeff Woolnough,Season 3 | Episode 3
252,Scarred,Vikings,8.3,44,Jeff Woolnough,Season 3 | Episode 4
253,The Usurper,Vikings,8.5,44,Helen Shaver,Season 3 | Episode 5
254,Born Again,Vikings,8.6,45,Helen Shaver,Season 3 | Episode 6
255,Paris,Vikings,8.2,44,Kelly Makin,Season 3 | Episode 7
256,To the Gates!,Vikings,8.8,44,Kelly Makin,Season 3 | Episode 8
257,Breaking Point,Vikings,8.6,44,Ken Girotti,Season 3 | Episode 9
258,The Dead,Vikings,8.8,44,Ken Girotti,Season 3 | Episode 10
259,A Good Treason,Vikings,8.5,44,Ciaran Donnelly,Season 4 | Episode 1
260,Kill the Queen,Vikings,8.4,44,Ciaran Donnelly,Season 4 | Episode 2
261,Mercy,Vikings,8.2,44,Ciaran Donnelly,Season 4 | Episode 3
262,Yol,Vikings,8.2,44,Helen Shaver,Season 4 | Episode 4
263,Promised,Vikings,7.9,45,Helen Shaver,Season 4 | Episode 5
264,What Might Have Been,Vikings,8.1,44,Ken Girotti,Season 4 | Episode 6
265,The Profit and the Loss,Vikings,8.5,44,Ken Girotti,Season 4 | Episode 7
266,Portage,Vikings,8.4,44,Ken Girotti,Season 4 | Episode 8
267,Death All 'Round,Vikings,8.2,44,Jeff Woolnough,Season 4 | Episode 9
268,The Last Ship,Vikings,8.8,44,Jeff Woolnough,Season 4 | Episode 10
269,The Outsider,Vikings,8.3,44,Daniel Grou,Season 4 | Episode 11
270,The Vision,Vikings,8.2,44,Daniel Grou,Season 4 | Episode 12
271,Two Journeys,Vikings,8.4,44,Sarah Harding,Season 4 | Episode 13
272,In the Uncertain Hour Before the Morning,Vikings,8.7,44,Sarah Harding,Season 4 | Episode 14
273,All His Angels,Vikings,9.2,44,Ciaran Donnelly,Season 4 | Episode 15
274,Crossings,Vikings,8.5,43,Ciaran Donnelly,Season 4 | Episode 16
275,The Great Army,Vikings,8.2,44,Jeff Woolnough,Season 4 | Episode 17
276,Revenge,Vikings,8.6,51,Jeff Woolnough,Season 4 | Episode 18
277,On the Eve,Vikings,8.6,44,Ben Bolt,Season 4 | Episode 19
278,The Reckoning,Vikings,8.7,44,Ben Bolt,Season 4 | Episode 20
279,"The Departed, Part 1",Vikings,8.2,2,David Wellington,Season 5 | Episode 1
280,"The Departed, Part 2",Vikings,8.2,43,David Wellington,Season 5 | Episode 2
281,Homeland,Vikings,8.7,44,Steve Saint Leger,Season 5 | Episode 3
282,The Plan,Vikings,8.2,44,Steve Saint Leger,Season 5 | Episode 4
283,The Prisoner,Vikings,8.5,48,Ciaran Donnelly,Season 5 | Episode 5
284,The Message,Vikings,8.2,44,Ciaran Donnelly,Season 5 | Episode 6
285,Full Moon,Vikings,7.9,44,Jeff Woolnough,Season 5 | Episode 7
286,The Joke,Vikings,8.7,44,Jeff Woolnough,Season 5 | Episode 8
287,A Simple Story,Vikings,7.6,46,Daniel Grou,Season 5 | Episode 9
288,Moments of Vision,Vikings,7.4,44,Daniel Grou,Season 5 | Episode 10
289,The Revelation,Vikings,7.9,44,Ciaran Donnelly,Season 5 | Episode 11
290,Murder Most Foul,Vikings,8.0,45,Ciaran Donnelly,Season 5 | Episode 12
291,A New God,Vikings,7.2,44,Ciaran Donnelly,Season 5 | Episode 13
292,The Lost Moment,Vikings,7.2,44,Steve Saint Leger,Season 5 | Episode 14
293,Hell,Vikings,8.8,44,Steve Saint Leger,Season 5 | Episode 15
294,The Buddha,Vikings,7.9,44,Steve Saint Leger,Season 5 | Episode 16
295,The Most Terrible Thing,Vikings,6.9,43,Helen Shaver,Season 5 | Episode 17
296,Baldur,Vikings,7.9,44,Helen Shaver,Season 5 | Episode 18
297,What Happens in the Cave,Vikings,8.4,44,David Wellington,Season 5 | Episode 19
298,Ragnarok,Vikings,9.5,44,David Wellington,Season 5 | Episode 20
299,Episode #6.1,Vikings,NA,44,Steve Saint Leger,Season 6 | Episode 1
300,Episode #6.2,Vikings,NA,44,Steve Saint Leger,Season 6 | Episode 2
301,Episode #6.3,Vikings,NA,44,Steve Saint Leger,Season 6 | Episode 3
302,Episode #6.4,Vikings,NA,44,Michael Hirst,Season 6 | Episode 4
303,Episode #6.5,Vikings,NA,44,David Frazee,Season 6 | Episode 5
304,Episode #6.6,Vikings,NA,44,David Frazee,Season 6 | Episode 6
305,Episode #6.7,Vikings,NA,44,Steve Saint Leger,Season 6 | Episode 7
306,Episode #6.8,Vikings,NA,44,Katheryn Winnick,Season 6 | Episode 8
307,Episode #6.9,Vikings,NA,44,Daniel Grou,Season 6 | Episode 9
308,Episode #6.10,Vikings,NA,44,Daniel Grou,Season 6 | Episode 10
309,Episode #6.11,Vikings,NA,44,Daniel Grou,Season 6 | Episode 11
310,Episode #6.12,Vikings,NA,44,Michael Hirst,Season 6 | Episode 12
311,Episode #6.13,Vikings,NA,44,Michael Hirst,Season 6 | Episode 13
312,Episode #6.14,Vikings,NA,44,Michael Hirst,Season 6 | Episode 14
313,Episode #6.15,Vikings,NA,44,Michael Hirst,Season 6 | Episode 15
314,Episode #6.16,Vikings,NA,44,Michael Hirst,Season 6 | Episode 16
315,Episode #6.17,Vikings,NA,44,Michael Hirst,Season 6 | Episode 17
316,Episode #6.18,Vikings,NA,44,Steve Saint Leger,Season 6 | Episode 18
317,Episode #6.19,Vikings,NA,44,Steve Saint Leger,Season 6 | Episode 19
318,Episode #6.20,Vikings,NA,44,Steve Saint Leger,Season 6 | Episode 20
319,Old Wounds,The Orville,7.5,45,Jon Favreau,Season 1 | Episode 1
320,Command Performance,The Orville,7.8,44,Robert Duncan McNeill,Season 1 | Episode 2
321,About a Girl,The Orville,7.8,44,Brannon Braga,Season 1 | Episode 3
322,If the Stars Should Appear,The Orville,8.4,43,James L. Conway,Season 1 | Episode 4
323,Pria,The Orville,8.0,44,Jonathan Frakes,Season 1 | Episode 5
324,Krill,The Orville,8.1,44,Jon Cassar,Season 1 | Episode 6
325,Majority Rule,The Orville,8.4,43,Tucker Gates,Season 1 | Episode 7
326,Into the Fold,The Orville,7.5,44,Brannon Braga,Season 1 | Episode 8
